productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
e-CAM130A_CUXVR_3H02R1&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/180-degree-4k-cameras.asp,AR1335,-20°C to 60°C,Yes,13,30FPS,97,all nvidia-camera platform,1/3.2,/webstore.asp,Color,30,MIPI CSI-2,13.0 MP
e-CAM81_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0821-4k-hdr-cameras.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,98,all nvidia-camera platform,1/1.7,/webstore.asp#81CUXVR,Color,60,MIPI CSI-2,8.0 MP
e-CAM51_CUXVR&nbsp;&nbsp;(AGX Xavier),/aetina/jetson-agx-xavier-cameras/ar0521-5mp-synchronized-multi-camera.asp,AR0521,-30°C to 70°C,Yes,5,100FPS,99,all nvidia-camera,1/2.5,/webstore.asp,Color,100,MIPI CSI-2,5.0 MP
e-CAM25_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0234-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,100,all nvidia-camera platform,1/2.6,/webstore.asp,Color,120,MIPI CSI-2,Full HD
e-CAM24_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/2mp-ov2311-global-shutter-monochrome-camera.asp,OV2311,-30°C to 85°C,No,2,280FPS,101,platform,1/2.9,/webstore.asp,Mono,280,MIPI CSI-2,2.0 MP
e-CAM23_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,-30°C to 85°C,No,2,60FPS,102,,1/2.8,/webstore.asp,Color,60,MIPI CSI-2,Full HD
e-CAM22_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/sony-imx327-ultra-low-light-camera.asp,IMX327,-30°C to 85°C,No,2,60FPS,103,,1/2.8,/webstore.asp,Color,60,MIPI CSI-2,2.0 MP
NileCAM25_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0234-gmsl2-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,104,all nvidia-camera platform,1/2.6,/webstore.asp,Color,120,GMSL2,Full HD
NileCAM21_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0233-gmsl2-camera.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,105,all nvidia-camera,1/2.5,/webstore.asp,Color,60,GMSL2,Full HD
NileCAM81_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-nano-cameras/ar0821-8mp-4k-hdr-gmsl2-camera.asp,AR0821,-30°C to 70°C,Yes,8,30FPS,106,all nvidia-camera platform,1/2,/webstore.asp,Color,30,GMSL2,8.0 MP
NileCAM25_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-xavier-nx-cameras/ar0234-full-hd-gmsl2-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,107,all nvidia-camera platform,1/2.6,/webstore.asp,Color,120,GMSL2,Full HD
NileCAM20_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-xavier-nx-cameras/ar0230-full-hd-gmsl2-hdr-camera.asp,AR0230AT,-30°C to 70°C,Yes,2,60FPS,108,all nvidia-camera,1/2.7,/webstore.asp,Color,60,GMSL2,Full HD
e-CAM20_CUTDA4 (TI TDA4VM-SK),/ti-cameras/ar0234-global-shutter-camera-tda4vm-ti-edge-ai.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,109,platform,1/2.6,/webstore.asp,Color,120,MIPI CSI-2,Full HD
e-CAM50_CUTDA4 (TI TDA4VM-SK),/ti-cameras/ar0521-camera-tda4vm-ti-edge-ai.asp,AR0521,-30°C to 70°C,Yes,5,100FPS,110,,1/2.5,/webstore.asp,Color,100,MIPI CSI-2,5.0 MP
e-CAM81_CUTDA4 (TI TDA4VM-SK),/ti-cameras/4k-onsemi-ar0821-hdr-camera-tda4vm-ti-edge-ai.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,111,platform,1/1.7,/webstore.asp,Color,60,MIPI CSI-2,8.0 MP
NeduCAM25_CUTDA4  (TI TDA4VM-SK),/fpd-link-iii-serdes/ar0234-global-shutter-camera-for-ti-sk-tda4vm.asp,AR0234,-20°C to 70°C,Yes,2,120FPS,112,platform,1/2.6,/webstore.asp,Color,120,FPD-Link III,Full HD
NeduCAM81_CUTDA4  (TI TDA4VM-SK),/fpd-link-iii-serdes/4k-onsemi-ar0821-hdr-camera-for-ti-sk-tda4vm.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,113,platform,1/1.7,/webstore.asp,Color,60,FPD-Link III,8.0 MP
e-CAM51_CUNX&nbsp;&nbsp;(Diamond Systems),/diamond-systems/5mp-mipi-camera-board.asp,AR0521,-30°C to 70°C,Yes,5,100FPS,114,all nvidia-camera,1/2.5,/webstore.asp,Color,100,MIPI CSI-2,5.0 MP
e-CAM181_CUNX &nbsp;&nbsp;(Diamond Systems),/diamond-systems/18mp-multi-camera-solution-for-jetson-xavier-nx.asp,AR1820,-30°C to 70°C,No,18,13FPS,115,,1/2.3,/webstore.asp,Color,13,MIPI CSI-2,18.0 MP
e-CAM130_CUNX&nbsp;&nbsp;(Diamond Systems),/diamond-systems/4k-camera-for-jetson-xavier-nx.asp,AR1335,-30°C to 70°C,Yes,13,115FPS,116,all nvidia-camera platform,1/3.2,/webstore.asp,Color,115,MIPI CSI-2,13.0 MP
e-CAM25_CUNX&nbsp;&nbsp;(Diamond Systems),/diamond-systems/ar0234-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,117,all nvidia-camera platform,1/2.6,/webstore.asp,Color,120,MIPI CSI-2,Full HD
e-CAM22_CUXVR&nbsp;&nbsp;(Toshiba DME),/toshiba/sony-imx327-ultra-low-light-camera.asp,IMX327,-30°C to 85°C,No,2,30FPS,118,,1/2.8,/webstore.asp,Color,30,MIPI CSI-2,2.0 MP
STURDeCAM25_CUXVR &nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ip67-rugged-gmsl2-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,119,all nvidia-camera platform,1/2.6,/webstore.asp,Color,120,GMSL2,Full HD
STURDeCAM20_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/2mp-ip67-gmsl2-rugged-camera.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,120,all nvidia-camera,1/2.7,/webstore.asp,Color,60,GMSL2,Full HD
STURDeCAM20_CUXVR&nbsp;&nbsp;(Connect tech Rogue),/connect-tech/rogue/ip67-gmsl2-AR0230-camera.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,121,all nvidia-camera,1/2.7,/webstore.asp,Color,60,GMSL2,Full HD
STURDeCAM20_CUXVR&nbsp;&nbsp;(Toshiba DME),/toshiba/2mp-ip67-gmsl2-rugged-camera.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,122,all nvidia-camera,1/2.7,/webstore.asp,Color,60,GMSL2,Full HD
STURDeCAM20&nbsp;&nbsp;(Connect tech Rudi-NX),/connect-tech/rudi-nx/ip67-gmsl2-AR0230-camera.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,123,all gmsl-cameras,1/2.7,/webstore.asp#sturdecam,Color,60,GMSL2,Full HD
NileCAM21_CUXVR&nbsp;&nbsp;(Connect Tech Rogue),/connect-tech/rogue/ar0233-hdr-gmsl2-camera.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,124,all nvidia-camera,1/2.5,/webstore.asp,Color,60,GMSL2,2.0 MP
NileCAM21_CUXVR&nbsp;&nbsp;(Connect Tech Rudi-NX),/connect-tech/rudi-nx/ar0233-hdr-gmsl2-camera.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,125,all nvidia-camera,1/2.5,/webstore.asp,Color,60,GMSL2,2.0 MP
NileCAM21_CUXVR&nbsp;&nbsp;(Connect Tech Rudi-AGX),/connect-tech/rudi-agx/ar0233-hdr-gmsl2-camera.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,126,all nvidia-camera,1/2.5,/webstore.asp,Color,60,GMSL2,2.0 MP
DepthVista_MIPI_IRD &nbsp;&nbsp;(AGX Orin),/3d-depth-cameras/tof-cameras/3d-mipi-tof-camera-nvidia-jetson-agx-orin-xavier.asp,Depth sensor,0°C to 50°C,No,0,30FPS,127,all 3d-depth-camera,1/4,/webstore.asp#e-CAM0M30_TOF_CUOAGX,NIR & Depth,30,MIPI CSI-2,0.3 MP
e-CAM180_CUOAGX &nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/18mp-ar1820hs-six-synchronized-cameras.asp,AR1820,-30°C to 70°C,No,18,13FPS,128,,1/2.3,/webstore.asp,Color,13,MIPI CSI-2,18.0 MP
e-CAM121_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/12mp-sony-starvis-imx412-ultra-low-light-camera.asp,IMX412,-20°C to 60°C,No,12.3,240FPS,129,platform,1/2.3,/webstore.asp#e-CAM121_CUOAGX,Color,240,MIPI CSI-2,12.3 MP
e-CAM85_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/sony-starvis-imx715-8mp-mipi-camera.asp,IMX715,-30°C to 70°C,no,8,30FPS,130,,1/ 2.8,/webstore.asp,Color,30,MIPI CSI-2,8.0 MP
e-CAM84_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/4k-onsemi-ar0830-mipi-camera.asp,AR0830,-30°C to 70°C,Yes,8,120FPS,131,platform,1/2.9,/webstore.asp,Color,120,MIPI CSI-2,8.0 MP
e-CAM82_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/8mp-sony-imx485-low-light-mipi-camera.asp,IMX485,-30°C to 70°C,No,8,90FPS,132,,1/1.2,/webstore.asp#e-CAM82_CUOAGX,Color,90,MIPI CSI-2,8.0 MP
e-CAM80_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/4k-8mp-sony-imx415-low-light-camera.asp,IMX415,-30°C to 70°C,No,8,104FPS,133,platform,1/2.8,/webstore.asp,Color,104,MIPI CSI-2,8.0 MP
e-CAM31_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/sony-isx031-120db-hdr-camera.asp,ISX031,-40°C to +85°C,No,3,60FPS,134,all nvidia-camera platform,1/2.42,/webstore.asp,Color,60,MIPI CSI-2,3.0 MP
e-CAM27_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/2mp-ov2312-global-shutter-rgb-ir-camera.asp,OV2312,-40°C to +80°C,Yes,2,36FPS,135,platform,1/2.9,/webstore.asp#e-CAM27_CUOAGX,Color & NIR,36,MIPI CSI-2,2.0 MP
e-CAM22_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/fhd-sony-starvis-imx462-low-light-camera.asp,IMX462,-30°C to 70°C,No,2,60FPS,136,,1/2.9,/webstore.asp,Color,60,MIPI CSI-2,2.0 MP
e-CAM20_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/full-hd-ar0234-color-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,137,all nvidia-camera platform,1/2.6,/webstore.asp#e-CAM20_CUOAGX,Color,120,MIPI CSI-2,Full HD
NeduCAM25_CUOAGX&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/ar0234-global-shutter-fpd-link-iii-synchronized-multi-camera.asp,AR0234,-20°C to 70°C,Yes,2,120FPS,138,all nvidia-camera platform,1/2.6,/webstore.asp#NeduCAM25_CUOAGX,Color,120,FPD-Link III,Full HD
ArniCAM20&nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/360-degree-bird-view-camera.asp,AR0233AT,-40°C to +85°C,Yes,4,30FPS,139,all nvidia-camera,1/2.5,/webstore.asp,Color,30,GMSL2,4.5 MP
NileCAM130_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/ar1335-13mp-gmsl2-camera.asp,AR1335,-30°C to 70°C,Yes,13,72FPS,140,all nvidia-camera platform,1/3.2,/webstore.asp,Color,72,GMSL2,13.0 MP
Nile3CAM85_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/8mp-sony-starvis-imx715-low-light-gmsl3-camera.asp,IMX715,-30°C to 70°C,No,8,90FPS,141,platform,1/2.8,/webstore.asp#Nile3CAM85_CUOAGX,Color,90,GMSL3,8.0 MP
NileCAM87_CUOAGX (AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/4k-sony-starvis2-imx585-gmsl-camera.asp,IMX585,-30°C to 70°C,No,8,44FPS,142,,1/1.2,/webstore.asp,Color,44,GMSL2,8.4 MP
NileCAM82_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/sony-starvis-imx485-4k-gmsl2-camera.asp,IMX485,-30°C to 70°C,No,8,62FPS,143,,1/1.2,/webstore.asp,Color,62,GMSL2,8.0 MP
NileCAM210_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/sony-starvis-imx462-low-light-gmsl2-camera.asp,IMX462,-30°C to 70°C,No,2,60FPS,144,,1/2.8,/webstore.asp,Color,60,GMSL2,2.0 MP
NileCAM81_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/ar0821-4k-hdr-gmsl2-camera.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,145,all nvidia-camera platform,1/1.7,/webstore.asp#NileCAM81_CUOAGX,Color,60,GMSL2,8.0 MP
NileCAM80_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/4k-imx415-low-light-gmsl2-multi-cameras.asp,IMX415,-20°C to 70°C,No,8,60FPS,146,platform,1/2.8,/webstore.asp,Color,60,GMSL2,8.0 MP
NileCAM25_CUOAGX (AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/ar0234-fhd-gmsl2-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,147,all nvidia-camera platform,1/2.6,/webstore.asp#NileCAM25_CUOAGX,Color,120,GMSL2,Full HD
NileCAM21_CUOAGX (AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/ar0233-fhd-gmsl2-hdr-camera-with-lfm.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,148,all nvidia-camera,1/2.5,/webstore.asp#NileCAM21_CUOAGX,Color,60,GMSL2,Full HD
NileCAM20_CUOAGX (AGX Orin / AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/ar0230-fhd-gmsl2-hdr-camera.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,149,all nvidia-camera,1/2.7,/webstore.asp#NileCAM20_CUOAGX,Color,60,GMSL2,Full HD
STURDeCAM81_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/4k-ar0821-IP67-hdr-gmsl2-multi-camera.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,150,all nvidia-camera platform,1/1.7,/webstore.asp#STURDeCAM81_CUOAGX,Color,60,GMSL2,8.0 MP
STURDeCAM21_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/ar0233-ip67-full-hd-gmsl2-hdr-camera.asp,AR0233AT,-40°C to 85°C,Yes,2,30FPS,151,all nvidia-camera,1/2.5,/webstore.asp#STURDeCAM21_CUOAGX,Color,30,GMSL2,Full HD
STURDeCAM25_CUOAGX &nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/fhd-ar0234-IP67-global-shutter-gmsl2-multi-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,152,all nvidia-camera platform,1/2.6,/webstore.asp#STURDeCAM25_CUOAGX,Color,120,GMSL2,Full HD
STURDeCAM20_CUOAGX (AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/ar0230-ip67-gmsl2-hdr-camera-for-agx-xavier.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,153,all nvidia-camera,1/2.7,/webstore.asp#STURDeCAM20_CUOAGX,Color,60,GMSL2,Full HD
STURDeCAM34 (GMSL2),/automotive-cameras/3mp-aro341at-ip69k-gmsl2-150db-hdr-camera.asp,AR0341AT,-40°C to 80°C,Yes,3,60FPS,154,hdr,1/3.6,/webstore.asp#STURDeCAM34,Color,60,GMSL2,3.0 MP
e-CAM30_CUNANO&nbsp;&nbsp;(NANO),/nvidia-cameras/jetson-nano-cameras/e-CAM30_CUNANO.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,155,,1/3,/webstore.asp#CAM30_CUNANO,Color,60,MIPI CSI-2,3.4 MP
STEEReoCAM&reg;&nbsp;&nbsp;(NANO/AGX Xavier/TX2),/nvidia-cameras/jetson-agx-xavier-cameras/stereo-camera.asp,OV2311,-30°C to 85°C,No,2,30FPS,156,platform,1/2.9,/webstore.asp#steereocam_USB3_camera,Mono,30,MIPI CSI-2,2.0 MP
TaraXL&nbsp;&nbsp;(Xavier/TX2),/3d-usb-stereo-camera-with-nvidia-accelerated-sdk.asp,MT9V024,-30°C to 70°C,No,0,60FPS,157,,1/3,/webstore.asp#taraxl_USB3_camera,Mono,60,USB 3.0,0.3 MP
SurveilsQUAD&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/sony-starvis-imx290-synchronized-multi-camera.asp,IMX290,-30°C to 85°C,No,2,120FPS,158,,1/2.8,/webstore.asp#SurveilsQUAD,Color,120,MIPI CSI-2,2.0 MP
e-CAM130A_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/four-synchronized-4k-cameras.asp,AR1335,-30°C to 70°C,Yes,13,100FPS,159,all nvidia-camera platform,1/3.2,/webstore.asp#13mpxaviercam,Color,100,MIPI CSI-2,13.0 MP
e-CAM131_CURB (Raspberry Pi 4),/raspberry-pi-4/ar1335-mipi-13mp-monochrome-camera.asp,AR1335M,-30°C to 85°C,No,13,120FPS,160,,1/3.2,/webstore.asp#e-CAM131_CURB,Mono,120,MIPI CSI-2,13.0 MP
e-CAM130_CURB&nbsp;&nbsp;(Raspberry Pi 4),/raspberry-pi-4/high-quality-mipi-csi-camera.asp,AR1335,-30°C to 70°C,Yes,13,110FPS,161,platform,1/3.2,/webstore.asp#13mpraspberry,Color,110,MIPI CSI-2,13.0 MP
e-CAM50_CURB (Raspberry Pi 4),/raspberry-pi-4/5mp-ar0521-raspberry-pi-4-camera.asp,AR0521,-30°C to 70°C,No,5,100FPS,162,,1/2.5,/webstore.asp#e-CAM50_CURB,Color,100,MIPI CSI-2,5.0 MP
e-CAM22_CURB&nbsp;&nbsp;(Raspberry Pi 4),/raspberry-pi-4/full-hd-sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,-30°C to 70°C,Yes,2,60FPS,163,,1/2.8,/webstore.asp#e-CAM22_CURB,Color,60,MIPI CSI-2,Full HD
e-CAM20_CURB&nbsp;&nbsp;(Raspberry Pi 4),/raspberry-pi-4/global-shutter-raspberry-pi-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,164,platform,1/2.6,/webstore.asp#e-CAM20_CURB,Color,120,MIPI CSI-2,Full HD
e-CAM21_CURB&nbsp;&nbsp;(Raspberry Pi 4),/raspberry-pi-4/ov2311-mipi-2mp-monochrome-global-shutter-camera-module.asp,OV2311,-30°C to 85°C,Yes,2,90FPS,165,platform,1/3.2,/webstore.asp#e-CAM21_CURB,Mono,90,MIPI CSI-2,Full HD
e-CAM20_CURZ&nbsp;&nbsp;(Renesas&reg; RZ V2L/G2L),/renesas/ar0234-global-shutter-camera-for-renesas-rz-v2.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,166,platform,1/2.6,/webstore.asp#e-CAM20_CURZ,Color,120,MIPI CSI-2,Full HD
e-CAM21_CURZ&nbsp;&nbsp;(Renesas&reg; RZ V2L/G2L),/renesas/sony-starvis-imx462-ultra-low-light-camera-for-renesas-rz-v2l.asp,IMX462,-30°C to 70°C,Yes,2,60FPS,167,,1/2.8,/webstore.asp#e-CAM21_CURZ,Color,60,MIPI CSI-2,Full HD
e-CAM22_CURZH&nbsp;&nbsp;(Renesas&reg; RZ/V2H),/renesas/sony-starvis-imx462-ultra-low-light-camera-for-renesas-rz-v2h.asp,IMX462,-30°C to 70°C,Yes,2,60FPS,168,,1/2.8,/webstore.asp#e-CAM22_CURZH,Color,60,MIPI CSI-2,Full HD
e-CAM130_iMX8M&nbsp;&nbsp;(i.MX8),/4k-autofocus-camera-for-variscite-imx8.asp,AR1335,-30°C to 70°C,Yes,13,120FPS,169,platform,1/3.2,/webstore.asp#13mp_imx8_camera,Color,120,MIPI CSI-2,13.0 MP
e-CAM134_CUiMX8&nbsp;&nbsp;(i.MX8),/toradex/ar1335m-13mp-monochrome-camera-for-imx8-quad-max.asp,AR1335M,-30°C to 85°C,Yes,13,120FPS,170,,1/3.2,/webstore.asp#e-CAM134_CUiMX8,Mono,120,MIPI CSI-2,13.0 MP
e-CAM131_CUiMX8&nbsp;&nbsp;(i.MX8 Quad Max),/toradex/13mp-camera-for-imx8-quad-max.asp,AR1335,-30°C to 70°C,Yes,13,100FPS,171,platform,1/3.2,/webstore.asp#e-CAM131_CUiMX8,Color,100,MIPI CSI-2,13.0 MP
e-CAM160_iMX8(i.MX8 Quad Max),/toradex/16mp-sony-imx298-autofocus-camera-for-imx8-quad-max.asp,IMX298,-20°C to 60°C,Yes,16,30FPS,172,platform,1/2.8,/webstore.asp#e-CAM160_iMX8,Color,30,MIPI CSI-2,16.0 MP
e-CAM50_CUiMX8&nbsp;&nbsp;(i.MX8 Quad Max),/toradex/5mp-camera-for-imx8-quad-max.asp,AR0521,-30°C to 70°C,Yes,5,65FPS,173,,1/2.5,/webstore.asp#e-CAM50_CUiMX8,Color,65,MIPI CSI-2,5.0 MP
e-CAM133_iMX8&nbsp;&nbsp;(i.MX8 Quad Max),/toradex/auto-focus-camera-for-imx8-quad-max.asp,AR1335,-30°C to 70°C,Yes,13,120FPS,174,platform,1/3.2,/webstore.asp#e-CAM133_iMX8,Color,120,MIPI CSI-2,13.0 MP
e-CAM22_CUiMX8&nbsp;&nbsp;(i.MX8),/toradex/sony-starvis-imx462-ultra-lowlight-camera-for-imx8.asp,IMX462,-30°C to 70°C,No,2,60FPS,175,,1/2.8,/webstore.asp#e-CAM133_iMX8,Color,60,MIPI CSI-2,Full HD
e-CAM21_CUiMX8&nbsp;&nbsp;(i.MX8),/toradex/ar0234-global-shutter-camera-for-imx8.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,176,platform,1/2.6,/webstore.asp#e-CAM21_CUiMX8,Color,120,MIPI CSI-2,Full HD
e-CAM27_CUiMX8&nbsp;&nbsp;(i.MX8),/toradex/2mp-ov2312-global-shutter-rgb-ir-camera-for-imx8.asp,OV2312,-40°C to +80°C,Yes,2,36FPS,177,platform,1/2.9,/webstore.asp#e-CAM27_CUiMX8,Color & NIR,36,MIPI CSI-2,2.0 MP
e-CAM20_CUiMX8&nbsp;&nbsp;(i.MX8 Quad Max),/toradex/sony-starvis-imx290-camera-for-imx8-quad-max.asp,IMX290,-30°C to 60°C,No,2,60FPS,178,,1/2.8,/webstore.asp#e-CAM20_CUiMX8,Color,60,MIPI CSI-2,2.0 MP
e-CAM50_CU96&nbsp;&nbsp;(Rockchip Camera),/5mp-mipi-camera-for-rock960-rk3399-board.asp,AR0521,-30°C to 70°C,Yes,5,70FPS,179,,1/2.5,/webstore.asp#e-CAM50_CU96,Color,70,MIPI CSI-2,5.0 MP
e-CAM50_CUCRL&nbsp;&nbsp;(Coral),/google-coral/5mp-mipi-camera-board.asp,AR0521,-30°C to 70°C,Yes,5,70FPS,180,,1/2.5,/webstore.asp#e-CAM50_CUCRL,Color,70,MIPI CSI-2,5.0 MP
e-CAM30_CUCRL&nbsp;&nbsp;(Coral),/google-coral/3mp-mipi-camera-board.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,181,,1/3,/webstore.asp#e-CAM50_CUCRL,Color & NIR,60,MIPI CSI-2,3.4 MP
qSmartAI80_CUQ610&nbsp;&nbsp;(Qualcomm),/qualcomm-embedded-cameras/qcs610-ai-vision-kit-imx415.asp,IMX415,-30°C to 70°C,Yes,8,30FPS,182,platform,1/2.8,/webstore.asp#qsmartai80cuq610,Color,30,MIPI CSI-2,8.0 MP
qSmartAI20_CUQ610&nbsp;&nbsp;(Qualcomm),/qualcomm-embedded-cameras/qcs610-ai-vision-kit-imx462.asp,IMX462,-30°C to 85°C,Yes,2,30FPS,183,,1/2.8,/webstore.asp#qSmartAI20_CUQ610,Color,30,MIPI CSI-2,2.0 MP
e-CAM51_CU96&nbsp;&nbsp;(Qualcomm),/qualcomm-embedded-cameras/5mp-mipi-camera-for-qualcomm-qc820c-board.asp,AR0521,-30°C to 70°C,Yes,5,70FPS,184,,1/2.5,/webstore.asp#e-CAM51_CU96,Color,70,MIPI CSI-2,5.0 MP
NileCAM130M_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/ar1335-13mp-gmsl2-cameras.asp,AR1335M,-30°C to 70°C,No,13,30FPS,185,,1/3.2,/webstore.asp#NileCAM130M_CUQRB5,Mono,30,GMSL2,13.0 MP
e-CAM130M_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/ar1335-13mp-monochrome-mipi-cameras.asp,AR1335M,-30°C to 70°C,No,13,30FPS,186,,1/3.2,/webstore.asp#e-CAM130M_CUQRB5,Mono,30,MIPI CSI-2,13.0 MP
NileCAM85_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx715-8mp-gmsl2-cameras.asp,IMX715,-30°C to 70°C,No,8,30FPS,187,platform,1/2.8,/webstore.asp#NileCAM85_CUQRB5,Color,30,GMSL2,8.0 MP
e-CAM85_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx715-8mp-mipi-cameras.asp,IMX715,-30°C to 70°C,No,8,30FPS,188,platform,1/2.8,/webstore.asp#e-CAM85_CUQRB5,Color,30,MIPI CSI-2,8.0 MP
e-CAM84_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/4k-onsemi-ar0830-mipi-cameras.asp,AR0830,-30°C to 70°C,Yes,8,120FPS,189,all camera-modules platform,1/2.9,/webstore.asp#e-CAM84_CUQRB5,Color,120,MIPI CSI-2,8.0 MP
