productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
See3CAM_24CUG,/industrial-cameras/ar0234-usb3-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,24,all usb-cameras usb-3-camera usb-cameras2,1/2.6,/order-now/see3cam_24cug.asp#see3cam24cug,Color,120,USB 3.0,Full HD
See3CAM_CU27,/usb-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,-30°C to 60°C,Yes,2,100FPS,25,all usb-cameras usb-3-camera,1/2.8,/order-now/see3cam-cu27.asp#cu27,Color & NIR,100,USB 3.0,2.0 MP
See3CAM_CU22,/usb-hdr-camera-with-led-flicker-mitigation.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,26,all usb-cameras2,1/2.5,/order-now/see3cam_cu22.asp#2mpcu22box,Color,60,USB 3.0,2.0 MP
See3CAM_CU20,/wide-temperature-range-hdr-usb-cameraboard.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,27,all usb-cameras2,1/2.7,/order-now/see3cam_cu20.asp#CU20USB,Color,60,USB 3.0,Full HD
See3CAM_27CUG,/usb-cameras/2mp-ov2312-global-shutter-rgb-ir-camera.asp,OV2312,-40°C to +80°C,Yes,2,36FPS,28,all usb-cameras usb-3-camera global-shutter,1/2.9,/order-now/see3cam_27cug.asp#See3CAM_27CUG,Color & NIR,36,USB 3.0,2.0 MP
See3CAM_20CUG,/industrial-cameras/ov2311-monochrome-global-shutter-camera.asp,OV2311,-30°C to 85°C,No,2,280FPS,29,all usb-cameras usb-3-camera,1/2.9,/order-now/see3cam_20cug.asp#20cug_camera,Mono & NIR,280,USB 3.0,2.0 MP
See3CAM_CU130,/UltraHD-USB-Camera.asp,AR1820,-30°C to 70°C,Yes,13,60FPS,30,,1/2.3,/order-now/see3cam_cu130.asp,Color,60,USB 3.0,13.0 MP
FSCAM_CU135,/multi-frame-buffer-camera.asp,AR1335,0°C to 85°C,Yes,13,120FPS,31,all usb-cameras2,1/3.2,/order-now/fscam_cu135.asp#FSCAM_CU135,Color,120,USB 3.0,13.0 MP
See3CAM_CU38,/usb-cameras/full-hd-low-light-usb-camera-with-stereo-mic.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,32,,1/3,/webstore.asp,Color & NIR,60,USB 3.0,3.4 MP
See3CAM_CU30,/ar0330-lowlight-usb-cameraboard.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,33,,1/3,/order-now/see3cam_cu30.asp#See3CAM_CU30,Color & NIR,60,USB 3.0,3.4 MP
See3CAM_CU31,/usb-cameras/sony-isx031-120db-hdr-camera.asp,ISX031,-40°C to 85°C,Yes,3,30FPS,34,all usb-cameras2,1/2.42,/webstore.asp,Color,30,USB 3.0,3.0 MP
See3CAM_30,/ar0330-liquid-lens-usb-camera-board.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,35,,1/3,/order-now/see3cam_30.asp#See3CAM_30,Color,60,USB 3.0,3.4 MP
See3CAM_10CUG,/1MP-USB3-Globalshutter-Camera.asp,AR0134,-40°C to 85°C,No,1,60FPS,36,,1/3,/webstore.asp#10CUG_CLMH,Mono,60,USB 3.0,1.3 MP
DepthVista_USB_RGBIRD,/3d-depth-cameras/tof-cameras/usb-interface-3d-tof-camera.asp,Depth sensor + AR0234,0°C to 50°C,Yes,0,30FPS,37,all usb-cameras usb-3-cameras 3d-depth-camera usb-cameras2,Depth: 1/4\, AR0234: 1/2.6,/order-now/see3cam_tof_25cug.asp#depthvista,Color\,NIR & Depth,30,USB 3.0,0.3 MP
DepthVista_USB_IRD,/3d-depth-cameras/tof-cameras/3d-tof-usb-camera-with-depth-and-ir-imaging.asp,Depth sensor,0°C to 50°C,No,0,30FPS,38,all usb-cameras usb-3-cameras 3d-depth-camera,Depth: 1/4,/webstore.asp,Depth & IR,30,USB 3.0,0.3 MP
e-CAM82_USB,/usb-cameras/sony-imx415-4k-usb-camera.asp,IMX415,0°C to 70°C,Yes,8,60FPS,39,,1/2.8,/order-now/e-cam82_usb.asp,Color,60,USB 2.0,8.0 MP
e-CAM83_USB,/usb-cameras/4k-sony-imx317-8mp-usb-camera.asp,IMX317,0°C to 70°C,Yes,8,30FPS,40,,1/2.5,/order-now/e-cam83_usb.asp,Color,30,USB 2.0,8.0 MP
